State (Emission order)	-5000	-4500	-4000	-3500	-3000	-2500	-2000	-1500	-1000	-500	0	500	1000	1500	2000	2500	3000	3500	4000	4500	5000
1	1.26240	1.15911	1.13616	0.96401	1.02140	0.99844	0.91811	0.89516	0.73449	0.94106	1.14768	1.37728	1.52648	1.51506	1.54950	1.64132	1.59541	1.60689	1.34290	1.50359	1.41176
2	1.07561	1.03936	0.88627	1.02324	0.95073	0.90642	0.89433	0.80570	0.93864	1.13201	1.01120	1.01124	1.06361	1.26511	1.22482	1.35777	1.25302	1.28928	1.32957	1.28122	1.17244
3	3.18615	3.10374	3.18615	2.89774	2.84281	2.81534	2.84281	2.40334	2.69174	2.89774	2.70559	2.38980	2.36233	2.67834	2.65087	2.52725	2.77448	2.96677	3.18653	3.20027	3.18653
4	0.63199	0.55214	0.54073	0.56811	0.54301	0.54986	0.51107	0.51107	0.56811	0.53389	0.44721	0.60238	0.67768	0.63207	0.66174	0.68684	0.74616	0.62523	0.64120	0.70509	0.74845
5	0.44640	0.44774	0.44715	0.44623	0.44447	0.44472	0.44489	0.44405	0.44531	0.44724	0.45036	0.45272	0.45490	0.45752	0.45861	0.45995	0.46146	0.46330	0.46473	0.46565	0.46749
6	2.27590	2.18640	2.19279	2.22475	2.25033	2.18000	2.20558	2.24393	2.21836	2.16082	2.09059	2.04592	1.95002	1.85419	1.85419	1.81583	1.81583	1.79025	1.76468	1.69434	1.66238
7	2.01193	2.10338	1.82902	1.55467	1.55467	2.10338	2.37773	3.01789	2.83499	2.92644	2.28637	1.92063	1.64626	1.73778	1.64632	1.92071	1.82925	2.28656	2.01217	2.19510	2.10363
8	0.93191	0.94498	0.97111	0.98852	1.06691	1.11046	1.12788	1.11481	1.09739	0.99288	0.86663	0.83618	0.88844	0.89283	0.95380	0.87105	0.85799	0.81443	0.89718	0.95380	1.07139
9	0.75020	0.73654	0.72289	0.70480	0.69582	0.68935	0.68552	0.69234	0.69797	0.71259	0.74304	0.76368	0.78296	0.81246	0.84373	0.87775	0.92016	0.96245	0.99396	1.01600	1.03948
10	2.98726	2.96004	2.93224	2.90676	2.86738	2.82105	2.80773	2.77182	2.82162	2.96062	3.25554	3.36398	3.50415	3.56221	3.54600	3.49213	3.33748	3.19093	3.04844	2.89090	2.75304
11	5.90756	6.14116	6.35603	6.53841	6.67833	6.85696	6.94441	7.04809	6.85197	6.41349	5.65045	5.01852	4.27143	3.67190	3.27835	3.06596	2.96851	2.92353	2.91228	3.00224	3.03722
12	5.31389	5.54565	5.52910	5.81052	6.58857	6.67134	7.49905	8.26054	9.07170	8.77372	7.68146	7.25132	6.20833	5.44699	5.11587	4.45362	3.84104	3.77482	3.79137	3.37747	3.59270
13	1.29886	1.27271	1.29886	1.28579	1.18118	1.22041	1.16375	1.24656	1.08965	1.20733	1.19866	1.17256	1.42974	1.42544	1.65211	1.62596	1.64339	1.67391	1.72186	1.73057	1.67827
14	3.85597	3.94649	3.72020	4.10942	4.16372	3.53917	3.36719	2.92366	2.40772	2.57970	2.51644	2.38076	2.82432	3.51244	3.53960	3.36760	3.47623	3.42191	3.40381	3.60297	3.32233
15	4.42269	4.53372	4.87607	4.63550	4.73728	5.03336	4.70027	4.23764	3.91381	2.84977	2.44276	3.20162	3.34968	3.19250	3.45160	3.64593	3.59966	3.43310	3.15549	3.03519	3.43310
16	3.64389	3.54800	4.02745	4.44298	5.01834	5.59369	6.07314	6.45671	7.51152	8.11884	9.39777	10.54895	12.37104	14.00190	13.65026	13.20271	12.85106	11.98793	11.12480	10.61332	9.81412
