State (Emission order)	-5000	-4500	-4000	-3500	-3000	-2500	-2000	-1500	-1000	-500	0	500	1000	1500	2000	2500	3000	3500	4000	4500	5000
1	1.14301	1.37162	1.33896	1.48048	1.43693	1.36073	1.26276	1.61111	1.83971	2.89564	2.48198	1.61111	1.48048	1.23010	1.18656	1.32807	1.46959	1.65465	1.53491	1.58933	1.45870
2	1.41003	1.41003	1.41003	1.26483	1.42150	1.50939	1.57435	1.95265	2.52201	2.50673	1.66224	1.60110	1.39475	1.43296	1.48646	1.45971	1.58199	1.49028	1.51321	1.49028	1.55524
3	1.68045	1.91493	1.68045	2.11033	2.47508	3.38695	4.89806	7.63367	5.77085	2.59232	1.77164	2.27968	14.88957	22.30179	13.57387	8.11566	5.40610	4.20764	3.43906	3.29577	3.23063
4	0.96955	0.97171	0.93709	0.96306	0.90462	1.03447	1.16865	1.46298	1.78544	1.35694	0.98037	0.90679	1.40455	1.90014	1.80492	1.43701	1.29850	1.20761	1.06261	1.02365	0.97388
5	0.47645	0.47486	0.47200	0.46930	0.46469	0.45928	0.45260	0.44140	0.42470	0.39251	0.37622	0.37868	0.38742	0.39696	0.40404	0.41024	0.41429	0.41795	0.42168	0.42319	0.42431
6	2.40136	2.43168	2.60753	2.72881	3.02595	3.37766	3.98407	4.48132	4.78452	4.66930	4.46919	4.67537	4.82697	4.59047	4.06896	3.58990	3.21393	2.92893	2.60753	2.46806	2.37104
7	1.99515	1.56142	1.82166	1.82166	1.56142	1.30118	0.95420	1.21444	2.51562	2.60237	4.33728	5.11799	3.46983	2.77586	1.64817	1.47468	1.90840	2.08190	2.08190	2.16864	1.38793
8	0.92114	0.89222	0.87570	0.84679	0.79722	0.79722	0.76417	0.73113	0.70221	0.76830	0.90461	0.90048	0.94179	0.98310	0.98310	0.92527	0.86744	0.78483	0.80961	0.83852	0.94592
9	1.36252	1.36627	1.37207	1.37036	1.37241	1.36252	1.33378	1.24447	1.01803	0.65513	0.48697	0.51867	0.62786	0.75500	0.85351	0.91532	0.93497	0.95088	0.96326	0.97008	0.97224
10	1.79693	1.81506	1.85955	1.91174	1.96997	1.99799	1.98920	1.77660	1.39206	0.96246	0.81249	0.92731	1.52775	2.68413	3.23733	3.30819	3.24502	3.17690	3.09669	3.02418	2.98463
11	2.18859	2.10327	1.99900	1.85088	1.63522	1.40771	1.12332	0.81050	0.56877	0.50123	0.55218	0.61024	0.72400	1.29040	2.23361	3.02634	3.52520	3.85225	4.11293	4.25394	4.36769
12	2.16693	2.05702	2.08842	2.04131	1.94710	2.11982	2.26115	2.32396	2.30825	2.13553	1.86859	2.44958	4.09833	5.85700	5.00907	4.42808	4.61651	4.74213	4.75783	4.83634	4.78923
13	1.51730	1.57518	1.52557	1.76122	1.69921	1.63306	1.88525	2.26561	2.74520	3.35294	4.15500	2.65011	1.83151	1.65373	1.40981	1.31058	1.34366	1.27337	1.28991	1.29818	1.28164
14	2.51565	2.56716	2.55858	2.36110	2.94494	3.19393	4.73079	10.59492	26.89942	43.22967	23.79135	34.60950	44.61199	19.32671	8.08786	3.69191	2.54999	1.80303	1.57121	1.48535	1.36515
15	2.43984	2.40474	2.43107	2.52761	2.48373	2.99276	3.65099	5.79244	13.33138	37.46653	76.70589	63.92743	24.53886	9.50486	4.56374	2.96643	1.97469	1.58853	1.39545	1.30769	1.27258
16	1.60692	1.12181	1.39469	1.51596	1.57660	1.97075	1.81915	1.84947	1.84947	1.87979	2.09203	2.21330	2.45586	3.03192	3.91118	4.30533	4.12342	4.36597	4.12342	3.88086	3.57767
