state (Emission order)	Genome %	CpGIsland.mm9.bed.gz	RefSeqExon.mm9.bed.gz	RefSeqGene.mm9.bed.gz	RefSeqTES.mm9.bed.gz	RefSeqTSS.mm9.bed.gz	RefSeqTSS2kb.mm9.bed.gz
1	0.35433	1.23301	1.04054	1.40101	1.14787	2.48198	1.82179
2	1.00940	0.93700	0.93208	1.45650	1.01136	1.66224	1.83536
3	0.29609	1.97058	2.79614	2.37797	2.70603	1.77164	7.61626
4	1.78227	0.35939	0.52196	1.29239	0.44728	0.98037	1.44300
5	48.52484	0.04035	0.32346	0.55694	0.45043	0.37622	0.43409
6	0.63607	11.10856	2.19619	1.08599	2.09093	4.46919	4.75023
7	0.04446	15.37255	2.59460	0.92921	2.28674	4.33728	3.00159
8	0.93378	1.39092	1.19575	0.63621	0.86677	0.90461	0.88272
9	33.94786	0.17508	0.65337	1.15428	0.74316	0.48697	0.83363
10	7.02125	0.63941	3.12039	2.20508	3.25607	0.81249	1.57183
11	3.25512	0.97333	7.44197	2.57434	5.64637	0.55218	0.78615
12	0.24564	2.92944	8.04403	2.50416	7.68271	1.86859	2.71237
13	0.93295	5.54297	1.39570	1.35142	1.19886	4.15500	2.57807
14	0.44924	34.45700	4.33380	1.65629	2.51685	23.79135	24.36266
15	0.43949	116.23977	9.87104	1.88742	2.44316	76.70589	26.01353
16	0.12722	2.58822	5.74222	1.39613	9.39930	2.09203	2.26155
Base	100	0.39434	2.41302	36.88243	0.00093	0.00098	3.43207
