state (Emission order)	H3k27me3	H3K9me3	H3K36me3	Pol2	H3K4me3	H3K27ac	p300	H3K4me1
1	7.07420701915849E-4	0.008165130441688217	0.017266713658607657	0.0207673519979957	0.11226472347707428	0.9999999999999991	0.9999998724029285	0.9439512613917869
2	0.0017175391781730346	0.005030558947068289	0.008563757939181557	0.0037917347581328826	0.016619504352040845	0.9792690123272809	0.17204667540061774	0.9563327306561871
3	0.00256985811354582	0.011933677890345596	0.12510114041983483	0.005533636201032779	3.9581194623250444E-26	0.18854711810558256	0.038240069246153155	0.7820717128281061
4	0.004764527408506223	0.0024174658904072286	0.0032595755661932193	7.794993508968153E-4	0.0053407743999836785	0.06145569066770123	0.05342227799127232	0.8135533862750299
5	0.003741511901680103	0.001758094415936519	6.23191577014513E-4	7.965300127562841E-4	0.0015410004892164022	1.5256051690264456E-4	0.0012903375917768145	0.002811824257954534
6	0.3692791539480572	0.01776535659022109	0.028010791684125937	0.0011549450221144818	0.012202567982473439	0.005299176971614682	0.005439199451461093	0.03326005694643425
7	0.5970139790144654	0.8136735863921992	0.6409054140821544	0.2374076973604518	0.3837658223638422	0.2983632929554954	0.4062621038926749	0.3103426555467274
8	0.0039071927129432854	0.25711759412248686	0.09115324643117714	0.004072320870023573	7.794241048150417E-4	0.002841533973797148	0.005004155926236947	6.175221993953622E-4
9	0.0015109856975749085	0.003193763272479193	0.004528135715676343	8.294752501127593E-4	7.936061498306945E-4	9.481946675976757E-4	0.002708441122268701	8.435155812149041E-4
10	9.386817073626227E-4	0.007515534193188714	0.13145242685586964	0.002825856987724392	2.2514967354738248E-4	0.004268475369706994	0.004521446885091997	1.9327211670634193E-18
11	3.900677307113326E-4	0.018829968810743353	0.8324416880166688	0.006857609342355126	2.3075020372276766E-4	0.013306220162618754	0.004701616365206422	0.0012939331896520457
12	8.383156326447467E-4	0.02909915794212732	0.7366156940129358	0.0362136429859493	0.010653683508729984	0.8268831449566628	0.15896688669340425	0.5207854974569234
13	0.0015289779532272382	0.010098435582859696	0.015576721894475495	0.002945960699933068	0.0010566337189633055	0.5782606057664519	0.02478893984502906	0.07556125928133371
14	0.009946139630493504	0.005074837931808321	0.01357665892873315	0.032453936504491195	0.7414991151811623	0.8482867829256064	0.02350950145999702	0.4208186547061358
15	1.2487549620821619E-4	0.01404324432536067	0.028372318511759986	0.41343407243664315	0.92720003858712	1.0	0.3264759670780254	0.06121013232867017
16	9.949713986098152E-4	0.01589061620724169	0.26702225506244076	0.5475073808987998	0.003987231287740825	0.1179996509645874	0.015993228205185013	0.04446063964822343
