16	8	E	-2151012.512463374	200
probinit	1	0.0
probinit	2	0.0
probinit	3	0.0
probinit	4	0.0
probinit	5	0.9544638171135988
probinit	6	0.0
probinit	7	0.0
probinit	8	7.656774564590746E-213
probinit	9	0.0
probinit	10	0.0
probinit	11	0.0
probinit	12	0.0
probinit	13	0.0
probinit	14	0.0
probinit	15	0.0
probinit	16	0.04553618288640117
transitionprobs	1	1	0.3777934727399153
transitionprobs	1	2	0.48954389597623443
transitionprobs	1	3	0.005367285374928852
transitionprobs	1	4	0.03625884871156321
transitionprobs	1	5	2.6876767782999114E-6
transitionprobs	1	6	6.135654057055816E-4
transitionprobs	1	7	4.9622604453312564E-5
transitionprobs	1	8	2.2026803604675572E-8
transitionprobs	1	9	0.0
transitionprobs	1	10	0.0
transitionprobs	1	11	0.0
transitionprobs	1	12	0.012180864436267843
transitionprobs	1	13	0.06504789782455772
transitionprobs	1	14	0.0
transitionprobs	1	15	0.012587390837633817
transitionprobs	1	16	5.544463851581949E-4
transitionprobs	2	1	0.1477397218492781
transitionprobs	2	2	0.41280951132771226
transitionprobs	2	3	0.015109475152529415
transitionprobs	2	4	0.12966087914655636
transitionprobs	2	5	0.0010964169956418613
transitionprobs	2	6	4.526867415303888E-4
transitionprobs	2	7	5.481355994664503E-5
transitionprobs	2	8	1.0576907009451908E-5
transitionprobs	2	9	0.11391142467819836
transitionprobs	2	10	0.006986393255623123
transitionprobs	2	11	0.0
transitionprobs	2	12	0.004615716546207912
transitionprobs	2	13	0.15584826137079313
transitionprobs	2	14	0.004376480867451264
transitionprobs	2	15	0.006901054322126644
transitionprobs	2	16	4.265872793951273E-4
transitionprobs	3	1	0.004578800717451681
transitionprobs	3	2	0.04440417966680137
transitionprobs	3	3	0.41932030530822145
transitionprobs	3	4	5.56368695423442E-5
transitionprobs	3	5	0.0
transitionprobs	3	6	1.4961251692335648E-6
transitionprobs	3	7	0.0
transitionprobs	3	8	0.0011412679925550658
transitionprobs	3	9	9.338427129915128E-7
transitionprobs	3	10	0.37020778668552323
transitionprobs	3	11	0.03411184338366721
transitionprobs	3	12	0.014752249451767476
transitionprobs	3	13	0.0
transitionprobs	3	14	0.1088525734667705
transitionprobs	3	15	0.002572926489817318
transitionprobs	3	16	0.0
transitionprobs	4	1	0.004792291258434635
transitionprobs	4	2	0.07072608368757946
transitionprobs	4	3	0.0
transitionprobs	4	4	0.42946222926824346
transitionprobs	4	5	0.0571103578059782
transitionprobs	4	6	0.0046365504735215194
transitionprobs	4	7	3.2615318049556044E-5
transitionprobs	4	8	3.5074070031635454E-4
transitionprobs	4	9	0.4178637091875081
transitionprobs	4	10	0.0
transitionprobs	4	11	0.0
transitionprobs	4	12	0.0
transitionprobs	4	13	0.0
transitionprobs	4	14	0.014665096292806167
transitionprobs	4	15	3.6032600756252787E-4
transitionprobs	4	16	0.0
transitionprobs	5	1	3.5786395592677572E-6
transitionprobs	5	2	2.5300386209858397E-5
transitionprobs	5	3	0.0
transitionprobs	5	4	0.002278773000946817
transitionprobs	5	5	0.9942182853679759
transitionprobs	5	6	7.640859481539171E-4
transitionprobs	5	7	1.5764464229499236E-4
transitionprobs	5	8	0.0021894847396410158
transitionprobs	5	9	1.226833580628306E-6
transitionprobs	5	10	3.2009850856314325E-6
transitionprobs	5	11	0.0
transitionprobs	5	12	0.0
transitionprobs	5	13	9.623293911575438E-5
transitionprobs	5	14	2.1897435034686505E-4
transitionprobs	5	15	3.175682672665736E-5
transitionprobs	5	16	1.1455340362558985E-5
transitionprobs	6	1	4.087338128779217E-4
transitionprobs	6	2	0.0010333892567314991
transitionprobs	6	3	8.135408323149062E-4
transitionprobs	6	4	0.012733820195393028
transitionprobs	6	5	0.05237817076119699
transitionprobs	6	6	0.9105641311318375
transitionprobs	6	7	0.0
transitionprobs	6	8	0.005070326678840249
transitionprobs	6	9	0.0
transitionprobs	6	10	0.010897250482429103
transitionprobs	6	11	1.2974254748634252E-4
transitionprobs	6	12	0.0
transitionprobs	6	13	2.0292360614947936E-4
transitionprobs	6	14	0.005753030222332213
transitionprobs	6	15	0.0
transitionprobs	6	16	1.4940472410707374E-5
transitionprobs	7	1	0.0020655288910746347
transitionprobs	7	2	0.0
transitionprobs	7	3	0.0
transitionprobs	7	4	0.0035486114786684162
transitionprobs	7	5	0.1722428483804275
transitionprobs	7	6	0.023624143654611424
transitionprobs	7	7	0.44384667692976765
transitionprobs	7	8	0.08500424802245737
transitionprobs	7	9	0.22161201929488794
transitionprobs	7	10	0.028309761514113664
transitionprobs	7	11	0.005590205049830603
transitionprobs	7	12	0.0
transitionprobs	7	13	0.007129009997940279
transitionprobs	7	14	0.005284032348724851
transitionprobs	7	15	0.0017429144374956705
transitionprobs	7	16	0.0
transitionprobs	8	1	0.0
transitionprobs	8	2	0.0
transitionprobs	8	3	1.8879175344449695E-4
transitionprobs	8	4	8.565070783560053E-4
transitionprobs	8	5	0.0832426103207615
transitionprobs	8	6	0.002801548679177036
transitionprobs	8	7	0.0032641257479750886
transitionprobs	8	8	0.8359168879868448
transitionprobs	8	9	0.061972175007301615
transitionprobs	8	10	0.00872233291304613
transitionprobs	8	11	2.346092667084044E-4
transitionprobs	8	12	0.0
transitionprobs	8	13	0.002689932986851728
transitionprobs	8	14	1.1047825953314707E-4
transitionprobs	8	15	0.0
transitionprobs	8	16	0.0
transitionprobs	9	1	0.0
transitionprobs	9	2	0.00355300613694414
transitionprobs	9	3	0.0
transitionprobs	9	4	0.024814860462108106
transitionprobs	9	5	2.572166041036832E-6
transitionprobs	9	6	0.0
transitionprobs	9	7	3.688788542349546E-4
transitionprobs	9	8	0.0024789689341063836
transitionprobs	9	9	0.9545002867608683
transitionprobs	9	10	0.0039822428231460864
transitionprobs	9	11	0.0
transitionprobs	9	12	0.0
transitionprobs	9	13	0.008168008487764679
transitionprobs	9	14	0.0018815291448808762
transitionprobs	9	15	8.900262110161309E-5
transitionprobs	9	16	1.606436088038643E-4
transitionprobs	10	1	0.0
transitionprobs	10	2	0.0010097233881113388
transitionprobs	10	3	0.018629887337562972
transitionprobs	10	4	0.0
transitionprobs	10	5	3.0822857652197116E-5
transitionprobs	10	6	0.0011291714044847068
transitionprobs	10	7	2.850621538377415E-4
transitionprobs	10	8	0.0010649411226561296
transitionprobs	10	9	0.01763820927775512
transitionprobs	10	10	0.9074991196904019
transitionprobs	10	11	0.037504334857449716
transitionprobs	10	12	0.0015751773191279657
transitionprobs	10	13	0.006729040410737913
transitionprobs	10	14	0.005831993394016017
transitionprobs	10	15	0.0
transitionprobs	10	16	0.0010725167862061906
transitionprobs	11	1	0.0
transitionprobs	11	2	0.0
transitionprobs	11	3	0.003496457888275411
transitionprobs	11	4	0.0
transitionprobs	11	5	0.0
transitionprobs	11	6	3.0149786542645185E-5
transitionprobs	11	7	0.0
transitionprobs	11	8	2.0290206290531047E-4
transitionprobs	11	9	0.0
transitionprobs	11	10	0.08270152833552806
